ID,SMILES,mw,Group,SA,_nn_tanimoto,scaffold
EN300-1530899,CC(CCC(=O)N(C)[C@H]1C[C@@H](C(=O)O)C1)CNC(=O)OCC1c2ccccc2-c2ccccc21,464.55,Comprehensive,3.095889669415252,1.0,O=C(CCCCNC(=O)OCC1c2ccccc2-c2ccccc21)NC1CCC1
EN300-1670336,O=C(NCCC12CC(C(=O)O)(C1)C2)OCC1c2ccccc2-c2ccccc21,377.43,Comprehensive,3.2885526510028384,0.8723404255319149,O=C(NCCC12CC(C1)C2)OCC1c2ccccc2-c2ccccc21
EN300-1561845,CCC1(C(=O)O)CN(C(=O)CCNC(=O)OCC2c3ccccc3-c3ccccc32)C1,422.47,Comprehensive,2.50993712535306,0.8888888888888888,O=C(NCCC(=O)N1CCC1)OCC1c2ccccc2-c2ccccc21
EN300-1581011,CCC(C)(CNC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)N1CC(CCCC(=O)O)C1,478.58,Comprehensive,3.2429402106317635,0.8983050847457628,O=C(NCCC(=O)N1CCC1)OCC1c2ccccc2-c2ccccc21
EN300-1496350,CN(CCCC(=O)O)C(=O)c1ccc(NC(=O)OCC2c3ccccc3-c3ccccc32)cn1,459.49,Comprehensive,2.4415403311224626,0.9473684210526315,O=C(Nc1cccnc1)OCC1c2ccccc2-c2ccccc21
EN300-27725995,O=C(O)CC1CN(C(=O)CNC(=O)OCc2ccccc2)C1,306.31,Comprehensive,2.021586408889153,0.782608695652174,O=C(NCC(=O)N1CCC1)OCc1ccccc1
EN300-1513656,CN(CCC(=O)O)C(=O)C1(NC(=O)OCC2c3ccccc3-c3ccccc32)CC1,408.45,Comprehensive,2.557308648122806,0.9,O=C(NC1CC1)OCC1c2ccccc2-c2ccccc21
EN300-1579161,CC(C)[C@@H](CC(=O)N1CC(CCC(=O)O)C1)NC(=O)OCC1c2ccccc2-c2ccccc21,464.55,Comprehensive,3.0332817341925784,1.0,O=C(NCCC(=O)N1CCC1)OCC1c2ccccc2-c2ccccc21
EN300-1479898,C[C@@H](C(=O)O)N(C)C(=O)Cc1ccc(NC(=O)OCC2c3ccccc3-c3ccccc32)cn1,459.49,Comprehensive,2.959253394111608,1.0,O=C(Nc1cccnc1)OCC1c2ccccc2-c2ccccc21
EN300-22996463,O=C(O)C#C[C@H]1C[C@@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C1,361.39,Comprehensive,2.723556331468391,1.0,O=C(NC1CCC1)OCC1c2ccccc2-c2ccccc21
EN300-1560031,CC(CCNC(=O)OCC1c2ccccc2-c2ccccc21)CCC(=O)N(C)C1(C(=O)O)CC1,464.55,Comprehensive,3.212136147148044,0.9310344827586207,O=C(CCCCCNC(=O)OCC1c2ccccc2-c2ccccc21)NC1CC1
EN300-1532220,CC(C(=O)O)N(C)C(=O)C1CC(NC(=O)OCC2c3ccccc3-c3ccccc32)C1,422.47,Comprehensive,2.9765944310512733,1.0,O=C(NC1CCC1)OCC1c2ccccc2-c2ccccc21
EN300-3401640,O=C(O)CCc1cccc(NC(=O)OCC2c3ccccc3-c3ccccc32)c1,387.43,Comprehensive,2.0800649215212257,0.875,O=C(Nc1ccccc1)OCC1c2ccccc2-c2ccccc21
EN300-1522312,O=C(O)CCN1CCN(C(=O)CC2(NC(=O)OCC3c4ccccc4-c4ccccc43)CC2)CC1,477.55,Comprehensive,2.6347354474047133,0.8245614035087719,O=C(NC1(CC(=O)N2CCNCC2)CC1)OCC1c2ccccc2-c2ccccc21
EN300-1559935,CN(C(=O)CCCNC(=O)OCC1c2ccccc2-c2ccccc21)C1(C(=O)O)CC1,422.47,Comprehensive,2.6140267805254744,0.9423076923076923,O=C(CCCNC(=O)OCC1c2ccccc2-c2ccccc21)NC1CC1
EN300-1539531,C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)N1CCCN(CC(=O)O)CC1,451.52,Comprehensive,2.7876203847299177,1.0,O=C(NCC(=O)N1CCCNCC1)OCC1c2ccccc2-c2ccccc21
EN300-1499229,C[C@@H](C(=O)O)N(C)C(=O)CCc1ccc(NC(=O)OCC2c3ccccc3-c3ccccc32)cc1,472.53,Comprehensive,2.8040031476947007,1.0,O=C(Nc1ccccc1)OCC1c2ccccc2-c2ccccc21
EN300-6492544,CN(C(=O)OCC1c2ccccc2-c2ccccc21)c1cccc(CCC(=O)O)c1,401.46,Comprehensive,2.282072601611178,0.78,O=C(Nc1ccccc1)OCC1c2ccccc2-c2ccccc21
EN300-7001329,O=C(O)CC[C@H]1C[C@@H](NC(=O)OCc2ccccc2)C1,277.32,Comprehensive,1.992648487699132,1.0,O=C(NC1CCC1)OCc1ccccc1
EN300-1543644,CCC(CNC(=O)OCC1c2ccccc2-c2ccccc21)CC(=O)N1CC(CCC(=O)O)C1,464.55,Comprehensive,3.085625509496221,0.9,O=C(NCCCC(=O)N1CCC1)OCC1c2ccccc2-c2ccccc21
EN300-1572983,O=C(O)COC1CN(C(=O)C2CC(NC(=O)OCC3c4ccccc4-c4ccccc43)C2)C1,450.48,Comprehensive,2.6139154870854657,1.0,O=C(NC1CC(C(=O)N2CCC2)C1)OCC1c2ccccc2-c2ccccc21
EN300-1517331,O=C(O)CN(CC1CC1)C(=O)CCOCCNC(=O)OCC1c2ccccc2-c2ccccc21,466.53,Comprehensive,2.558023598370678,0.8620689655172413,O=C(CCOCCNC(=O)OCC1c2ccccc2-c2ccccc21)NCC1CC1
EN300-27731768,O=C(O)Cc1nnc(CNC(=O)OCc2ccccc2)s1,307.33,Comprehensive,2.1873413127398624,0.7857142857142857,O=C(NCc1nncs1)OCc1ccccc1
EN300-1550763,O=C(O)COC1CCN(C(=O)C#CCNC(=O)OCC2c3ccccc3-c3ccccc32)CC1,462.5,Comprehensive,2.8401740280588097,0.8333333333333334,O=C(NCC#CC(=O)N1CCCCC1)OCC1c2ccccc2-c2ccccc21
EN300-1515057,CN(C(=O)CSCCNC(=O)OCC1c2ccccc2-c2ccccc21)c1ccccc1C(=O)O,490.57,Comprehensive,2.5279636012508657,0.7377049180327869,O=C(CSCCNC(=O)OCC1c2ccccc2-c2ccccc21)Nc1ccccc1
EN300-27782286,CC1CN(C(=O)OCc2ccccc2)CCN1CCC(=O)O,306.36,Comprehensive,2.446797892125968,1.0,O=C(OCc1ccccc1)N1CCNCC1
EN300-1503449,CN(CCCC(=O)O)C(=O)C1(CNC(=O)OCC2c3ccccc3-c3ccccc32)CC1,436.5,Comprehensive,2.6364063577805528,0.9433962264150944,O=C(NCC1CC1)OCC1c2ccccc2-c2ccccc21
EN300-1498004,O=C(O)CC1CN(C(=O)c2cn(CCNC(=O)OCC3c4ccccc4-c4ccccc43)cn2)C1,474.51,Comprehensive,2.717232216635482,0.7313432835820896,O=C(NCCn1cnc(C(=O)N2CCC2)c1)OCC1c2ccccc2-c2ccccc21
EN300-20786305,O=C(O)c1ccc(N2CCN(C(=O)OCc3ccccc3)CC2)cc1,340.37,Comprehensive,1.7419762361766438,0.8,O=C(OCc1ccccc1)N1CCN(c2ccccc2)CC1
EN300-1509137,O=C(O)CN(CC1CC1)C(=O)CCCCCCNC(=O)OCC1c2ccccc2-c2ccccc21,478.58,Comprehensive,2.4944628320200977,1.0,O=C(CCCCCCNC(=O)OCC1c2ccccc2-c2ccccc21)NCC1CC1
EN300-1514378,CCC(CC(=O)N1CC(CC(=O)O)C1)NC(=O)OCC1c2ccccc2-c2ccccc21,436.5,Comprehensive,2.946435582546064,1.0,O=C(NCCC(=O)N1CCC1)OCC1c2ccccc2-c2ccccc21
EN300-97006,O=C(O)CN1CCN(C(=O)OCc2ccccc2)CC1,278.3,Comprehensive,1.722940896606012,0.8918918918918919,O=C(OCc1ccccc1)N1CCNCC1
EN300-1543708,O=C(O)CCC1CN(C(=O)c2ccccc2NC(=O)OCC2c3ccccc3-c3ccccc32)C1,470.52,Comprehensive,2.3872312935585587,0.7540983606557377,O=C(Nc1ccccc1C(=O)N1CCC1)OCC1c2ccccc2-c2ccccc21
EN300-1543813,O=C(O)CCC1CN(C(=O)c2cc(CNC(=O)OCC3c4ccccc4-c4ccccc43)on2)C1,475.49,Comprehensive,2.642726062789327,0.7692307692307693,O=C(NCc1cc(C(=O)N2CCC2)no1)OCC1c2ccccc2-c2ccccc21
EN300-1532003,CC(C)N(CCCC(=O)O)C(=O)[C@H]1C[C@@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C1,464.55,Comprehensive,2.599409594447309,1.0,O=C(NC1CCC1)OCC1c2ccccc2-c2ccccc21
EN300-1545405,CN(C(=O)C(F)(F)CNC(=O)OCC1c2ccccc2-c2ccccc21)[C@H]1C[C@@H](C(=O)O)C1,458.46,Comprehensive,2.841666066530834,1.0,O=C(CCNC(=O)OCC1c2ccccc2-c2ccccc21)NC1CCC1
EN300-1559989,CC(CCCNC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)N(C)C1(C(=O)O)CC1,450.53,Comprehensive,3.180363848758949,0.7333333333333333,O=C(CCCCNC(=O)OCC1c2ccccc2-c2ccccc21)NC1CC1
EN300-1523342,CC1(C(=O)O)CN(C(=O)CCOCCNC(=O)OCC2c3ccccc3-c3ccccc32)C1,452.5,Comprehensive,2.6194301272839766,0.8421052631578947,O=C(NCCOCCC(=O)N1CCC1)OCC1c2ccccc2-c2ccccc21
