ID,SMILES,mw,Group,SA
EN300-726012,C[C@H](O)C1CN(c2ccc(C=O)nc2)C1,206.24,Comprehensive,3.208587409235471
EN300-1595045,O=Cc1nnn(CCOCCO)c1C(F)(F)F,253.18,Comprehensive,3.065979290870657
EN300-725997,CC(O)C1CN(c2ccc(C=O)cc2)C1,205.25,Comprehensive,2.715883844507516
EN300-726168,O=Cc1ccc(N2CCC[C@H]2CO)cn1,206.24,Comprehensive,3.0239760823887494
EN300-26275768,O=CC1CCC(CO)CC1,142.2,Comprehensive,2.5324957403018864
EN300-715996,O=Cc1cncc(-c2ccc(CO)cc2)c1,213.23,Comprehensive,2.0428441275222458
EN300-726068,O=Cc1cnc(N2CCC[C@@H]2CO)nc1,207.23,Comprehensive,3.027440840886066
EN300-345277,O=CCCCCCO,116.16,Comprehensive,2.2491586799652694
EN300-9170751,COc1ccc(C=O)cc1OCCCO,210.23,Comprehensive,1.8670528990236972
EN300-175701,CN(CCO)c1ccc(C=O)cn1,180.2,Comprehensive,2.498097442316519
EN300-726156,O=Cc1ccc(N2CC(O)C2)cn1,178.19,Comprehensive,2.601524365393441
EN300-726081,O=Cc1ccc(N2CCC[C@@H]2CO)cc1,205.25,Comprehensive,2.5516161539450994
EN300-227122,O=Cc1ccc(OCCO)cc1,166.06,Comprehensive,1.7617741405933582
EN300-725947,O=Cc1ccc(N2CCC[C@@H]2CO)nc1,206.24,Comprehensive,2.838524561816298
EN300-20869,CN(CCO)c1ccc(C=O)cc1,179.22,Comprehensive,2.091497442316518
EN300-7327853,O=CC#CCCO,98.1,Comprehensive,3.4559774326779253
EN300-5213039,CC(O)Cc1ccc(C=O)cc1,164.2,Comprehensive,2.358136940019504
EN300-1620541,O=CC1(CCO)CC1,114.14,Comprehensive,3.31567756108415
EN300-227945,COc1cc(C=O)ccc1OCCO,196.2,Comprehensive,1.8431397572897712
EN300-1594399,Cc1c(C=O)nnn1CCCCCO,197.23,Comprehensive,2.794981177408115
EN300-394992,COc1ccc(C=O)cc1CSCCO,226.29,Comprehensive,2.2471792726500706
EN300-1594397,Cc1c(C=O)nnn1CCOCCO,199.21,Comprehensive,2.9551137217868124
EN300-1594403,Cc1c(C=O)nnn1CCCCO,183.21,Comprehensive,2.870047442316517
EN300-1623080,CC(O)CCC1(C=O)CC1,142.2,Comprehensive,3.6164978813818554
EN300-1697883,O=CCCCCCCCO,144.21,Comprehensive,2.1226199161260624
EN300-21412,CCN(CCO)c1ccc(C=O)c(C)c1,207.27,Comprehensive,2.299201411486843
EN300-1263762,O=Cc1cnn(CCO)c1,140.14,Comprehensive,2.643388597444744
EN300-5261113,O=Cc1cccc(CO)n1,137.14,Comprehensive,2.438490245796393
EN300-726074,O=Cc1ccc(N2CCC[C@H]2CO)cc1,205.25,Comprehensive,2.5516161539450994
